,City,Cloudyness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
376,Pingliang,80,CN,1538944217,91,35.54,106.68,39.31,2.84
377,Shingu,24,JP,1538944218,100,33.72,135.99,73.06,4.97
378,San Ramon,75,NI,1538942400,94,12.92,-85.84,71.6,2.17
379,Tessalit,0,ML,1538944219,21,20.2,1.01,72.61,7.76
380,Nemuro,88,JP,1538944219,100,43.32,145.57,54.88,15.82
381,Lipari,20,IT,1538942100,73,38.47,14.95,69.8,3.36
382,Gunjur,75,GM,1538942400,88,13.18,-16.76,82.4,3.36
383,Usinsk,92,RU,1538944220,97,66.0,57.56,37.06,11.23
384,Bridlington,44,GB,1538941800,71,54.08,-0.19,51.8,12.75
385,Kruisfontein,0,ZA,1538944220,89,-34.0,24.73,65.32,13.69
386,Floro,100,NO,1538941800,81,61.6,5.03,44.6,28.86
387,Husavik,24,CA,1538944221,100,50.56,-96.99,42.37,4.18
388,Ippy,36,CF,1538944221,93,6.26,21.2,69.1,2.95
389,Constitucion,90,MX,1538941260,46,23.99,-104.67,71.6,11.41
390,Port Hardy,90,CA,1538942400,93,50.7,-127.42,50.0,12.75
391,Pevek,92,RU,1538944222,100,69.7,170.27,34.9,9.44
392,Del Rio,1,US,1538941980,87,29.36,-100.9,77.0,6.93
393,Flin Flon,90,CA,1538942400,86,54.77,-101.88,28.4,10.29
394,Gorontalo,44,ID,1538944222,93,0.54,123.06,73.96,1.83
395,Sungaipenuh,76,ID,1538944222,94,-2.08,101.38,66.22,0.38
396,Vestmanna,80,FO,1538941800,75,62.16,-7.17,44.6,14.99
397,Esmeraldas,0,BR,1538942400,50,-19.76,-44.31,78.8,3.36
398,Batagay,76,RU,1538944243,87,67.65,134.64,19.96,3.29
399,Loa Janan,88,ID,1538944243,99,-0.58,117.09,73.96,2.17
400,Dikson,36,RU,1538944243,94,73.51,80.55,40.03,43.11
401,Morbegno,75,IT,1538941800,93,46.13,9.57,59.0,0.27
402,Katubao,0,PH,1538944244,100,5.89,124.83,71.71,3.74
403,Parana,75,BR,1538942400,55,-7.52,-72.89,89.6,2.24
404,Verkhnyaya Inta,76,RU,1538944244,96,65.99,60.32,37.06,6.64
405,Noumea,0,NC,1538942400,88,-22.28,166.46,66.2,6.76
406,Haimen,12,CN,1538944245,100,31.87,121.18,62.62,6.98
407,Macamic,75,CA,1538942400,69,48.75,-79.0,39.2,3.36
408,Nsanje,0,MZ,1538944245,59,-16.92,35.26,70.72,9.33
409,Omidiyeh,0,IR,1538942400,62,30.76,49.7,84.2,4.7
410,Kaseda,56,JP,1538944245,100,31.42,130.32,72.61,12.24
411,Camabatela,12,AO,1538944246,95,-8.19,15.37,64.42,2.73
412,West Odessa,75,US,1538942400,62,31.84,-102.48,82.04,21.92
413,Ulladulla,40,AU,1538942400,100,-35.36,150.48,57.2,12.75
414,Coquimbo,40,CL,1538942400,72,-29.95,-71.34,59.0,11.41
415,Katima Mulilo,0,NA,1538944247,29,-17.5,24.28,66.49,7.2
416,Abu Kamal,64,SY,1538944247,36,34.45,40.92,75.76,8.77
417,Krabi,20,TH,1538942400,100,8.06,98.92,77.0,3.36
418,Sorland,48,NO,1538944247,100,67.67,12.69,47.14,24.09
419,Pringsewu,44,ID,1538944248,91,-5.36,104.98,72.7,1.05
420,Hailar,32,CN,1538944248,87,49.2,119.7,25.63,5.64
421,Xinglongshan,0,CN,1538938800,69,43.96,125.47,37.4,8.95
422,Bria,68,CF,1538944248,94,6.54,21.99,67.66,3.06
423,Winder,40,US,1538942160,43,33.99,-83.72,91.4,6.2
424,Srednekolymsk,88,RU,1538944249,96,67.46,153.71,28.6,3.06
425,Davlekanovo,90,RU,1538940600,76,54.22,55.03,53.6,11.18
426,Lorengau,56,PG,1538944249,100,-2.02,147.27,82.51,7.2
427,La Ronge,90,CA,1538943420,79,55.1,-105.3,28.4,9.17
428,Macomb,90,US,1538943300,93,40.46,-90.67,66.2,9.17
429,Methoni,20,GR,1538941800,88,36.82,21.7,64.4,4.7
430,Alofi,40,NU,1538942400,74,-19.06,-169.92,78.8,3.36
431,Valparaiso,90,US,1538943300,84,41.47,-87.06,73.4,8.99
432,Batouri,24,CM,1538944250,98,4.44,14.36,68.29,2.62
433,Bilma,0,NE,1538944251,23,18.69,12.92,75.22,4.18
434,Dakar,20,SN,1538942400,83,14.69,-17.45,84.2,9.17
435,Necochea,0,AR,1538944209,41,-38.55,-58.74,77.47,15.82
436,Werota,24,ET,1538944252,85,11.92,37.7,55.24,2.62
437,Kabalo,24,CD,1538944252,92,-6.05,26.92,72.43,3.62
438,Narsaq,0,GL,1538941800,75,60.91,-46.05,32.0,9.17
439,San Pedro,0,AR,1538944253,38,-33.68,-59.66,78.46,10.78
440,Orapa,0,BW,1538944254,18,-21.28,25.37,70.0,16.04
441,Sangar,68,RU,1538944254,87,63.92,127.47,28.69,4.63
442,Khovu-Aksy,0,RU,1538944274,68,51.13,93.72,19.87,2.39
443,Bechet,0,RO,1538942400,66,43.78,23.96,53.6,3.36
444,Shelburne,90,CA,1538942700,93,44.08,-80.2,57.2,4.7
445,Saint-Joseph,44,FR,1538942400,93,43.56,6.97,68.0,6.93
446,Divnoye,8,RU,1538944275,85,45.91,43.34,51.64,15.82
447,Kamenka,0,RU,1538944276,66,53.19,44.05,49.57,17.05
448,Touros,0,BR,1538944276,77,-5.2,-35.46,79.72,18.5
449,Kon Tum,12,VN,1538944276,97,14.36,108.0,60.19,2.06
450,Lata,0,IN,1538944276,88,30.78,78.62,41.29,2.17
451,Ulagan,0,RU,1538944276,72,50.63,87.96,23.56,4.41
452,Taoudenni,0,ML,1538944277,22,22.68,-3.98,79.45,7.76
453,Dumbrava Rosie,0,RO,1538942400,76,46.88,26.43,53.6,11.41
454,Brumado,0,BR,1538944277,36,-14.2,-41.67,79.81,10.89
455,Am Timan,0,TD,1538944277,71,11.04,20.28,76.3,3.4
456,Balaipungut,68,ID,1538944278,97,1.11,101.31,74.32,2.51
457,Letpadan,48,MM,1538944278,95,17.78,95.75,75.22,2.28
458,Algeciras,0,ES,1538942400,57,36.13,-5.45,77.0,14.99
459,Khorramshahr,0,IR,1538942400,79,30.43,48.18,84.2,4.7
460,Lixourion,20,GR,1538941800,93,38.2,20.43,64.4,4.7
461,Anadyr,75,RU,1538938800,87,64.73,177.51,42.8,8.95
462,Gat,0,SN,1538944279,68,14.69,-16.54,84.31,6.42
463,Camalu,0,MX,1538944279,67,30.85,-116.07,69.01,6.87
464,Manokwari,56,ID,1538944279,100,-0.87,134.08,82.24,1.16
465,Satipo,36,PE,1538944279,80,-11.26,-74.64,74.68,1.16
466,Le Moule,90,GP,1538942400,74,16.33,-61.35,84.2,5.82
467,Gazli,0,UZ,1538944280,48,40.13,63.45,43.18,7.09
468,Aviles,0,ES,1538942400,71,43.55,-5.92,51.8,2.24
469,Paraiso,90,MX,1538941260,46,24.01,-104.61,71.6,11.41
470,Nkayi,24,CG,1538944281,86,-4.18,13.29,76.21,3.51
471,Sarahan,0,IN,1538944281,97,31.51,77.79,12.58,2.06
472,Shimoda,0,JP,1538944281,100,34.7,138.93,73.06,11.45
473,Kieta,68,PG,1538944281,100,-6.22,155.63,78.28,4.18
474,Gushikawa,1,JP,1538942400,92,26.35,127.87,75.2,6.93
475,Minuri,68,PH,1538944282,100,16.54,121.86,70.36,2.95
476,Aksarka,64,RU,1538944282,95,66.56,67.8,34.63,13.58
477,Clyde River,90,CA,1538942400,85,70.47,-68.59,24.8,3.29
478,Tabou,56,CI,1538944282,100,4.42,-7.36,79.72,9.89
479,Faya,0,SA,1538942400,20,18.39,42.45,66.2,3.36
480,Basco,90,US,1538943300,93,40.33,-91.2,69.08,6.93
481,Qeshm,0,IR,1538942400,78,26.96,56.27,80.6,6.93
482,Puerto Leguizamo,36,CO,1538944283,66,-0.19,-74.78,87.46,1.05
483,Nexo,0,DK,1538941800,100,55.06,15.13,39.2,2.24
484,Hinton,80,CA,1538944284,67,53.4,-117.57,41.38,2.62
485,Portobelo,20,PA,1538942400,66,9.55,-79.65,86.0,5.82
486,Pokaran,0,IN,1538944284,35,26.93,71.92,68.92,2.95
487,Coihaique,40,CL,1538942400,50,-45.58,-72.07,51.8,8.05
488,Tabas,24,IR,1538942400,40,33.6,56.92,68.0,9.17
489,Birao,12,CF,1538944305,87,10.3,22.78,73.42,3.18
490,Comodoro Rivadavia,40,AR,1538942400,33,-45.87,-67.48,62.6,18.34
491,Charyshskoye,56,RU,1538944306,88,51.4,83.56,41.38,5.53
492,Barranca,8,PE,1538944306,97,-10.75,-77.76,62.62,7.31
493,Watertown,90,US,1538943300,76,44.9,-97.12,51.26,10.29
494,Muli,0,IN,1538944306,54,22.62,71.45,79.63,5.3
495,Aloleng,0,PH,1538944306,100,16.13,119.78,76.12,4.97
496,Waingapu,0,ID,1538944307,94,-9.65,120.26,66.58,3.96
497,Voznesenye,88,RU,1538944307,100,61.02,35.48,39.94,13.47
498,Shubarshi,0,KZ,1538944307,72,48.59,57.19,43.36,10.56
499,Svetlaya,76,RU,1538944307,100,46.54,138.33,53.08,7.87
500,Port Hedland,0,AU,1538942400,88,-20.31,118.58,71.6,8.05
501,Mumbwa,0,ZM,1538944308,33,-14.99,27.06,69.19,11.01
502,Provost,32,CA,1538944308,49,52.35,-110.26,50.38,6.2
503,Belaya Gora,68,RU,1538944308,96,68.54,146.19,22.57,5.97
504,Klaksvik,56,FO,1538941800,75,62.23,-6.59,44.6,14.99
505,Muroto,100,JP,1538944309,100,33.37,134.14,67.66,7.54
506,Sechura,20,PE,1538944309,82,-5.56,-80.82,71.98,12.91
507,Karlskoga,32,SE,1538941800,93,59.33,14.52,37.4,4.7
508,Celestun,56,MX,1538944309,100,20.87,-90.4,81.79,19.17
509,Geraldton,75,CA,1538942400,60,49.72,-86.95,41.0,6.93
510,Makaha,75,US,1538942220,83,21.47,-158.22,84.92,10.67
511,Sydney,75,AU,1538942400,87,-33.85,151.22,59.0,12.75
512,Suzun,64,RU,1538944310,85,53.78,82.32,45.16,10.45
513,Grand-Lahou,48,CI,1538944310,88,5.24,-5.0,76.93,6.42
514,Atar,0,MR,1538944310,22,20.52,-13.05,87.37,6.76
515,Peniche,0,PT,1538942400,71,39.36,-9.38,60.8,4.7
516,Bonfim,40,BR,1538942400,53,-20.33,-44.24,78.8,4.7
517,Rio Gallegos,20,AR,1538942400,20,-51.62,-69.22,51.8,23.04
518,Alpena,90,US,1538943300,83,45.06,-83.43,50.54,9.17
519,Buin,90,CL,1538942400,42,-33.73,-70.74,62.6,8.05
520,Ballina,90,IE,1538942400,100,54.11,-9.15,53.6,14.99
521,Huanuco,64,PE,1538944312,85,-9.93,-76.24,55.51,1.61
522,Nyurba,80,RU,1538944312,93,63.29,118.35,32.11,4.18
523,Kita,75,JP,1538942400,78,35.76,139.74,73.4,12.75
524,Jaca,0,ES,1538942400,76,42.57,-0.55,51.8,13.87
525,Caravelas,8,BR,1538944313,100,-17.73,-39.27,77.83,12.01
526,Rabo de Peixe,20,PT,1538942400,83,37.8,-25.58,69.8,9.17
527,Antsohihy,92,MG,1538944314,89,-14.88,47.99,74.68,4.41
528,The Valley,75,AI,1538942400,83,18.22,-63.06,84.2,5.82
529,Cap Malheureux,20,MU,1538942400,83,-19.98,57.61,69.8,4.7
530,Beloha,0,MG,1538944314,86,-25.17,45.06,69.82,14.92
531,Kulhudhuffushi,92,MV,1538944315,100,6.62,73.07,79.27,9.22
532,Yar-Sale,88,RU,1538944315,100,66.83,70.83,37.42,16.93
533,Gavrilovka Vtoraya,0,RU,1538944315,65,52.88,42.77,49.21,16.04
534,Vilyuysk,80,RU,1538944335,87,63.75,121.63,32.2,4.74
535,Pontes e Lacerda,12,BR,1538944336,75,-15.23,-59.33,85.21,5.19
536,Iquitos,75,PE,1538942400,83,-3.75,-73.25,78.8,5.82
537,Northam,0,GB,1538941800,81,51.04,-4.21,48.2,5.82
538,Yanam,8,IN,1538944336,82,16.73,82.22,79.45,6.64
539,Ondjiva,80,AO,1538944337,24,-17.07,15.73,78.19,6.98
540,Nivala,0,FI,1538944337,87,63.93,24.96,27.16,3.51
541,Juba,40,EE,1538941800,93,57.82,26.93,39.2,5.82
542,Bolobo,24,CD,1538944337,90,-2.17,16.23,76.3,4.18
543,Huanren,0,CN,1538944338,78,41.26,125.37,33.82,3.18
544,Dergachi,0,RU,1538944338,59,51.24,48.77,48.94,13.47
545,Acapulco,75,MX,1538941380,74,16.86,-99.88,86.0,8.05
546,Kayerkan,88,RU,1538944338,86,69.35,87.76,44.62,24.09
547,Kundiawa,92,PG,1538944339,98,-6.02,144.97,58.66,1.28
548,Puerto Escondido,75,MX,1538941500,70,15.86,-97.07,86.0,9.17
549,Kalush,0,UA,1538940600,93,49.03,24.36,48.2,2.95
550,Adrar,0,DZ,1538942400,20,27.87,-0.29,84.2,4.29
551,Dingle,12,PH,1538944340,93,11.0,122.67,76.48,8.1
552,Trairi,12,BR,1538944340,98,-3.28,-39.27,80.26,21.41
553,Troitsko-Pechorsk,92,RU,1538944340,98,62.71,56.19,38.32,6.08
554,Benguela,8,AO,1538944340,100,-12.58,13.4,71.35,8.77
